Cell,BestBatchIdx,STRFGain,STRFLatency,OutputAdaptation,On__ROnGSYN,Off__ROnGSYN,On__SOnOffGSYN,Off__SOnOffGSYN,SOnOff__ROnGSYN
145,11,0.0032188412733376,0.0045049088075757,0.0107591226696968,0.102947883307934,0.000349389010807499,0.144269287586212,0.0260620508342981,0.215366870164871
146,11,0.252523630857468,0.0399999991059303,0.00629367958754301,0.000799067143816501,0.000301876803860068,0.00316715403459966,0,0.11701875180006
147,6,0.0122600430622697,0.000712044013198465,0.00341989006847143,0.00291377934627235,0.126908197999001,0.0734618082642555,0.0945505723357201,0.135292932391167
148,6,0.438192248344421,0.025763863697648,0.0818326696753502,0,0,6.12139956501778e-08,0,0.246750846505165
149,2,0.00538282096385956,0.0080904895439744,0.00879089068621397,0.0341072119772434,0.0118519114330411,0.311436384916306,0.144979506731033,0.103487424552441
150,4,0.00673638097941875,0.014942335896194,0.0118935024365783,0.0398031324148178,0.0227607917040586,0.375091344118118,0,0.21136799454689
151,4,0.00456915935501456,0.000102188416349236,0.084588885307312,0.0342231206595898,0.101666800677776,0.147792637348175,0.218165934085846,0.0756512358784676
152,8,0.00923166610300541,0.0036806482821703,0.0063312565907836,0.0655986368656158,0.0449320860207081,0.262137830257416,0.135169625282288,0.224843174219131
153,2,0.00048774917377159,0.000117297189717647,0.072094552218914,0.00899629201740026,0.0661018937826157,0.158794477581978,0.157150313258171,0.150401771068573
154,9,0.0518777817487717,0.0241180248558521,0.0113737285137177,0.00952541828155518,0.00412171799689531,0.00808167364448309,9.17539728106931e-05,0.0986352562904358
155,7,9.99999974737875e-05,0.00498832296580076,0.103569619357586,0.0705328732728958,0.00887981429696083,0.482326209545135,0.181717485189438,0.0611865818500519
156,14,0.216451808810234,0.016283368691802,0.0389325954020023,0,0,0.000287062808638439,3.48180080322891e-08,0.131758078932762
157,13,0.00433858716860414,0.0144331268966198,0.0115484427660704,0.0320095606148243,0.0523263700306416,0.373592287302017,3.54820040229242e-05,0.206659868359566
158,12,0.00968950521200895,0.0030745614785701,0.0104781407862902,0.0711408481001854,0,0.301606118679047,0.137187227606773,0.273124605417252
159,10,0.000126469560200348,0.0160819012671709,0.0275328103452921,0,0.00643797032535076,0.208014219999313,0.0479568652808666,0.0606754682958126
160,15,0.00554058002308011,0.000100034158094786,0.0800939574837685,0.104673750698566,0.0790564939379692,0.216075479984283,0.101766332983971,0.0922002866864204
161,6,0.00680413004010916,0.000100206321803853,0.080348514020443,1.89977764422644e-12,0.0960051119327545,0.129218086600304,0.163724541664124,0.145739659667015
162,6,0.00259162881411612,0.0123292235657573,0.00454007042571902,0.0399361737072468,0.0655490979552269,0.154283344745636,0.113652087748051,0.173265770077705
163,14,0.0162708666175604,0.0197158083319664,0.00859611760824919,0.0435619875788689,0.0221443194895983,0.323148757219315,0,0.297392636537552
164,15,0.0169013608247042,9.99999974737875e-05,0.0444322638213634,0.0720524489879608,0.0599130541086197,0.139812007546425,0.14312881231308,0.15534895658493
165,12,0.232328876852989,0.00298804230988026,0.00840800628066063,0.0218009669333696,0.0240851454436779,0.0203173980116844,3.9691152778687e-05,0.146055951714516
166,11,0.00840200204402208,0.00356114888563752,0.00636953581124544,0.0341702438890934,0.0439442098140717,0.199341207742691,0.187422752380371,0.142754152417183
167,8,0.001760438317433,0.00934955570846796,0.00417222222313285,0.0362695530056953,0.118815265595913,0.203898519277573,0.226467192173004,0.192241683602333
168,8,0.000100016382930335,0.000100004879641347,0.000419848802266642,0.0984104797244072,0.0722779110074043,0.0188166443258524,0.271289706230164,0.187382712960243
169,2,0.0256197135895491,9.99999974737875e-05,0.0166430771350861,0.0441083684563637,0.0302386470139027,0.203425750136375,0.0773616433143616,0.151929631829262
170,5,0.000107140687759966,0.00347902090288699,0.00199988670647144,0.096583753824234,0,0.140292972326279,0.0405988097190857,0.17888143658638
171,1,0.00988380517810583,0.0109402881935239,0.0137294977903366,0.0289355311542749,0.0555207617580891,0.0728550031781197,0.268987059593201,0.196057215332985
172,11,0.00655623897910118,0.00624328898265958,0.0120972245931625,0.00968419387936592,0.0714595913887024,0.00610003573819995,0.225889831781387,0.143004447221756
173,12,0.00956733431667089,0.00767571618780494,0.00444582151249051,0.0405249185860157,0.0443786792457104,0.258793324232101,0.237243115901947,0.232064664363861
174,9,0.0116552654653788,0.0196790117770433,0.00401852931827307,0.0288416836410761,0.0206321459263563,0.377118170261383,0.00526175554841757,0.213754549622536
175,9,0.00337869627401233,0.0101492740213871,0.0134312203153968,0.0351077206432819,0.0723849684000015,0.326448887586594,0.163341283798218,0.122526600956917
176,12,0.0054717306047678,0.0055914893746376,0.00880336482077837,0.0550201088190079,0.0241965968161821,0.218550354242325,0.180216729640961,0.134905114769936
